               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.055313,             0.01593,                   0,             0.49931,             0.99735,             0.64961,             0.20582,            0.060794,           0.0094317,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.060854,            0.015708,                   0,             0.49931,             0.99735,             0.64961,             0.20582,            0.060794,           0.0094317,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.052147,            0.017045,                   0,             0.91391,             0.96695,              0.9575,             0.38566,            0.045414,           0.0096429,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.047901,            0.015517,                   0,             0.91391,             0.96695,              0.9575,             0.38566,            0.045414,           0.0096429,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.046725,            0.014329,                   0,                   1,             0.95751,               0.995,             0.50662,            0.048145,           0.0091305,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.047562,            0.015099,                   0,             0.57207,                   1,             0.73321,             0.25143,            0.052528,           0.0095364,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.052811,            0.017047,                   0,             0.57207,                   1,             0.73321,             0.25143,            0.052528,           0.0095364,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.049849,            0.016978,                   0,             0.58511,                   1,             0.83466,             0.50553,            0.044495,           0.0094186,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.047572,            0.016638,                   0,             0.76388,                   1,             0.94346,             0.33742,            0.045267,           0.0090281,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.047118,             0.01598,                   0,             0.76388,                   1,             0.94346,             0.33742,            0.045267,           0.0090281,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.047615,             0.01645,                   0,             0.90707,                   1,               0.995,             0.69066,            0.039568,            0.008853,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.043374,            0.017272,                   0,             0.90707,                   1,               0.995,             0.69066,            0.039568,            0.008853,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.042141,             0.01683,                   0,             0.96636,                   1,               0.995,             0.67179,            0.032111,           0.0091625,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.042791,            0.015642,                   0,             0.60332,             0.83027,             0.74806,             0.25591,            0.052241,           0.0090077,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.049553,            0.014253,                   0,             0.60332,             0.83027,             0.74806,             0.25591,            0.052241,           0.0090077,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.045271,            0.012273,                   0,             0.81736,                   1,             0.90752,             0.61586,            0.038884,           0.0091182,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.043299,            0.017749,                   0,             0.78423,                   1,              0.9275,             0.37725,            0.040003,           0.0088464,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.045605,            0.012581,                   0,             0.78423,                   1,              0.9275,             0.37725,            0.040003,           0.0088464,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.042797,            0.012729,                   0,             0.95919,                   1,               0.995,             0.61193,            0.031275,           0.0093013,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.035219,            0.014836,                   0,             0.95919,                   1,               0.995,             0.61193,            0.031275,           0.0093013,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.035086,            0.013546,                   0,             0.98483,                   1,               0.995,             0.69011,            0.032637,           0.0089288,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.036583,            0.014628,                   0,             0.90958,                   1,               0.995,             0.63206,            0.034273,           0.0090549,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.043779,            0.012138,                   0,             0.90958,                   1,               0.995,             0.63206,            0.034273,           0.0090549,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.036675,            0.015272,                   0,             0.96113,                   1,               0.995,             0.69882,            0.028673,             0.00893,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.034352,            0.015337,                   0,             0.86746,                   1,                0.92,             0.54188,            0.033089,            0.008943,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.040869,            0.013505,                   0,             0.86746,                   1,                0.92,             0.54188,            0.033089,            0.008943,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.038038,            0.014308,                   0,             0.98547,                   1,               0.995,             0.59665,            0.031286,           0.0088957,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032653,             0.01601,                   0,             0.98547,                   1,               0.995,             0.59665,            0.031286,           0.0088957,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032416,            0.013275,                   0,             0.98468,                   1,               0.995,             0.60261,              0.0284,           0.0092369,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032562,            0.014338,                   0,             0.96363,                   1,               0.995,             0.45848,            0.033628,           0.0090686,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.040276,            0.015308,                   0,             0.96363,                   1,               0.995,             0.45848,            0.033628,           0.0090686,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.03561,            0.013347,                   0,             0.89622,                   1,              0.9875,             0.74541,            0.022743,           0.0093935,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.028362,            0.012035,                   0,              0.8978,                   1,               0.995,             0.62076,            0.027793,           0.0092271,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.033609,            0.011837,                   0,              0.8978,                   1,               0.995,             0.62076,            0.027793,           0.0092271,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.035019,            0.012563,                   0,             0.96752,                   1,               0.995,             0.71341,            0.025545,           0.0094931,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.033859,            0.013039,                   0,             0.96752,                   1,               0.995,             0.71341,            0.025545,           0.0094931,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.029801,            0.011357,                   0,             0.98074,                   1,               0.995,             0.76661,            0.024721,            0.009577,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.031911,            0.013272,                   0,             0.90236,                   1,              0.9875,             0.64579,            0.026153,           0.0094371,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.028369,            0.013546,                   0,             0.90236,                   1,              0.9875,             0.64579,            0.026153,           0.0094371,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.029394,            0.011764,                   0,             0.90281,                   1,                0.98,             0.74039,            0.022563,           0.0095647,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.028432,            0.011943,                   0,              0.9314,                   1,               0.995,              0.5964,            0.026807,           0.0094752,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031443,            0.011874,                   0,              0.9314,                   1,               0.995,              0.5964,            0.026807,           0.0094752,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029474,            0.012031,                   0,             0.98465,                   1,               0.995,             0.79291,            0.022783,           0.0095506,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.026392,            0.012697,                   0,             0.98465,                   1,               0.995,             0.79291,            0.022783,           0.0095506,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024862,            0.012617,                   0,             0.98555,                   1,               0.995,             0.82589,            0.021903,           0.0094037,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026816,            0.012075,                   0,             0.98787,                   1,               0.995,              0.7723,            0.019902,           0.0093462,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.02567,            0.012433,                   0,             0.98787,                   1,               0.995,              0.7723,            0.019902,           0.0093462,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.027721,            0.010263,                   0,             0.98837,                   1,               0.995,             0.77775,            0.019797,           0.0093122,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.025657,             0.01254,                   0,             0.98839,                   1,               0.995,             0.81093,            0.021613,           0.0092084,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.025727,            0.011464,                   0,             0.98839,                   1,               0.995,             0.81093,            0.021613,           0.0092084,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.023967,            0.012735,                   0,             0.98809,                   1,               0.995,             0.84182,            0.019575,           0.0090747,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.024201,            0.013757,                   0,             0.98809,                   1,               0.995,             0.84182,            0.019575,           0.0090747,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.023693,            0.011311,                   0,             0.98891,                   1,               0.995,             0.84182,            0.019831,           0.0089356,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021901,            0.011192,                   0,             0.98855,                   1,               0.995,             0.80931,            0.019283,           0.0088228,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021823,            0.011855,                   0,             0.98855,                   1,               0.995,             0.80931,            0.019283,           0.0088228,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.022044,            0.012114,                   0,             0.98893,                   1,               0.995,             0.80353,            0.018994,           0.0086268,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023838,            0.013358,                   0,             0.98733,                   1,               0.995,             0.81769,            0.018223,           0.0085563,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.023608,            0.012591,                   0,             0.98733,                   1,               0.995,             0.81769,            0.018223,           0.0085563,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.023383,            0.010768,                   0,             0.98834,                   1,               0.995,             0.82577,            0.017408,           0.0083972,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022386,            0.012322,                   0,             0.98834,                   1,               0.995,             0.82577,            0.017408,           0.0083972,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022623,            0.011554,                   0,             0.98712,                   1,               0.995,             0.82577,            0.017396,           0.0084745,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.024371,            0.011427,                   0,             0.98755,                   1,               0.995,             0.82673,            0.017437,           0.0083419,                   0,            0.000298,            0.000298,            0.000298
